
0,235.5,7,[ 2 35],[35  2]
1,235.0,1,[  2 103],[103   2]
2,264.75,2,[  2 122],[122   2]
3,250.0,2,[  2 122],[122   2]
4,234.75,2,[  2 122],[122   2]
5,277.0,2,[  2 122],[122   2]
6,266.25,2,[  2 122],[122   2]
7,232.5,2,[  2 122],[122   2]
8,240.75,1,[  2 102],[102   2]
9,241.75,1,[  2 102],[102   2]
10,266.75,1,[  2 102],[102   2]
11,286.0,2,[  2 122],[122   2]
12,257.25,2,[  2 122],[122   2]
13,227.5,2,[  2 122],[122   2]
14,260.25,2,[  2 122],[122   2]
15,269.75,1,[  2 102],[102   2]
16,263.5,2,[  2 122],[122   2]
17,236.5,7,[ 2 35],[35  2]
18,238.75,2,[  2 122],[122   2]
19,243.0,2,[  2 122],[122   2]
20,243.25,1,[  2 102],[102   2]
21,266.0,2,[  2 122],[122   2]
22,242.5,2,[  2 122],[122   2]
23,248.5,2,[  2 122],[122   2]
24,266.5,2,[  2 122],[122   2]
25,252.25,1,[  2 102],[102   2]
26,250.5,2,[  2 122],[122   2]
27,240.5,3,[ 2 18],[18  2]
28,214.0,2,[  2 122],[122   2]
29,260.0,2,[  2 122],[122   2]
30,262.75,2,[  2 122],[122   2]
31,252.5,2,[  2 122],[122   2]
32,271.5,2,[  2 122],[122   2]
33,243.25,2,[  2 122],[122   2]
34,250.5,3,[ 2 18],[18  2]
35,241.25,2,[  2 122],[122   2]
36,257.75,2,[  2 122],[122   2]
37,255.25,2,[  2 122],[122   2]
38,241.5,1,[  2 102],[102   2]
39,272.25,1,[  2 102],[102   2]
40,252.5,1,[  2 102],[102   2]
41,251.75,2,[  2 122],[122   2]
42,229.5,7,[ 2 35],[35  2]
43,260.5,1,[  2 103],[103   2]
44,254.0,2,[  2 122],[122   2]
45,278.5,2,[  2 122],[122   2]
46,257.75,1,[  2 102],[102   2]
47,274.25,2,[  2 122],[122   2]
48,231.75,2,[  2 122],[122   2]
49,267.25,2,[  2 122],[122   2]
50,251.75,7,[ 2 35],[35  2]
51,280.25,2,[  2 122],[122   2]
52,260.25,2,[  2 122],[122   2]
53,263.75,2,[  2 122],[122   2]
54,258.0,1,[  2 102],[102   2]
55,249.0,2,[  2 122],[122   2]
56,237.0,2,[  2 122],[122   2]
57,249.75,1,[  2 102],[102   2]
58,268.0,1,[  2 102],[102   2]
59,250.75,1,[  2 102],[102   2]
60,236.5,2,[  2 122],[122   2]
61,258.5,7,[ 2 35],[35  2]
62,230.0,2,[  2 122],[122   2]
63,225.0,7,[ 2 35],[35  2]
64,263.75,1,[  2 103],[103   2]
65,224.25,4,[  2  34 220  82],[ 34 220  82   2]
66,247.0,2,[  2 122],[122   2]
67,262.75,2,[  2 122],[122   2]
68,264.5,2,[  2 122],[122   2]
69,253.0,1,[  2 106],[106   2]
70,256.5,2,[  2 122],[122   2]
71,244.5,2,[  2 122],[122   2]
72,256.0,1,[  2 106],[106   2]
73,240.75,2,[  2 122],[122   2]
74,239.25,1,[  2 106],[106   2]
75,261.75,2,[  2 122],[122   2]
76,265.75,1,[  2 106],[106   2]
77,260.5,2,[  2 122],[122   2]
78,235.0,7,[ 2 35],[35  2]
79,246.25,1,[  2 107],[107   2]
80,273.5,2,[  2 122],[122   2]
81,239.75,1,[  2 106],[106   2]
82,233.25,1,[  2 106],[106   2]
83,261.25,2,[  2 122],[122   2]
84,257.5,2,[  2 122],[122   2]
85,271.25,2,[  2 122],[122   2]
86,262.75,1,[  2 106],[106   2]
87,261.75,1,[  2 106],[106   2]
88,254.0,2,[  2 122],[122   2]
89,239.0,1,[  2 106],[106   2]
90,255.25,2,[  2 122],[122   2]
91,253.5,2,[  2 122],[122   2]
92,264.0,2,[  2 122],[122   2]
93,276.25,2,[  2 122],[122   2]
94,228.5,1,[  2 106],[106   2]
95,276.0,2,[  2 122],[122   2]
96,254.0,1,[  2 106],[106   2]
97,244.0,1,[  2 106],[106   2]
98,227.25,7,[ 2 35],[35  2]
99,271.5,2,[  2 122],[122   2]
100,243.0,7,[ 2 35],[35  2]
101,255.5,7,[ 2 35],[35  2]
102,271.0,1,[  2 107],[107   2]
103,227.25,1,[  2 106],[106   2]
104,250.0,1,[  2 106],[106   2]
105,270.5,2,[  2 122],[122   2]
106,257.0,1,[  2 106],[106   2]
107,275.0,1,[  2 106],[106   2]
108,250.0,2,[  2 122],[122   2]
109,258.5,2,[  2 122],[122   2]
110,219.75,4,[  2  34 220  82],[ 34 220  82   2]
111,262.75,2,[  2 122],[122   2]
112,252.75,2,[  2 122],[122   2]
113,250.0,2,[  2 122],[122   2]
114,246.0,2,[  2 122],[122   2]
115,229.75,3,[  2 180 179 103],[180 179 103   2]
116,220.75,3,[  2 182 175 105],[182 175 105   2]
117,241.75,2,[  2 122],[122   2]
118,249.25,1,[  2 107],[107   2]
119,266.75,1,[  2 108],[108   2]
120,251.25,1,[  2 108],[108   2]
121,254.0,1,[  2 108],[108   2]
122,260.25,1,[  2 108],[108   2]
123,269.75,2,[  2 122],[122   2]
124,218.5,1,[  2 107],[107   2]
125,263.25,1,[  2 108],[108   2]
126,241.75,2,[  2 122],[122   2]
127,261.5,1,[  2 107],[107   2]
128,249.75,1,[  2 108],[108   2]
129,257.25,1,[  2 108],[108   2]
130,255.0,2,[  2 122],[122   2]
131,245.5,1,[  2 107],[107   2]
